"_raw","_time","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",eventtype,host,index,linecount,pid,process,punct,source,sourcetype,"splunk_server","splunk_server_group",timeendpos,timestartpos
"May  2 15:27:15 metasploitable3-ub1404 sshd[3800]: Failed password for vagrant from 10.0.2.5 port 60570 ssh2","2025-05-02T18:27:15.000+0300",15,2,27,may,15,friday,2025,local,,"metasploitable3-ub1404",main,1,3800,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:15 metasploitable3-ub1404 sshd[3806]: Failed password for vagrant from 10.0.2.5 port 60604 ssh2","2025-05-02T18:27:15.000+0300",15,2,27,may,15,friday,2025,local,,"metasploitable3-ub1404",main,1,3806,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:15 metasploitable3-ub1404 sshd[3797]: Failed password for vagrant from 10.0.2.5 port 60540 ssh2","2025-05-02T18:27:15.000+0300",15,2,27,may,15,friday,2025,local,,"metasploitable3-ub1404",main,1,3797,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:15 metasploitable3-ub1404 sshd[3805]: Failed password for vagrant from 10.0.2.5 port 60594 ssh2","2025-05-02T18:27:15.000+0300",15,2,27,may,15,friday,2025,local,,"metasploitable3-ub1404",main,1,3805,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:15 metasploitable3-ub1404 sshd[3801]: Failed password for vagrant from 10.0.2.5 port 60572 ssh2","2025-05-02T18:27:15.000+0300",15,2,27,may,15,friday,2025,local,,"metasploitable3-ub1404",main,1,3801,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:15 metasploitable3-ub1404 sshd[3803]: Failed password for vagrant from 10.0.2.5 port 60584 ssh2","2025-05-02T18:27:15.000+0300",15,2,27,may,15,friday,2025,local,,"metasploitable3-ub1404",main,1,3803,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:15 metasploitable3-ub1404 sshd[3798]: Failed password for vagrant from 10.0.2.5 port 60550 ssh2","2025-05-02T18:27:15.000+0300",15,2,27,may,15,friday,2025,local,,"metasploitable3-ub1404",main,1,3798,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:15 metasploitable3-ub1404 sshd[3795]: Failed password for vagrant from 10.0.2.5 port 60506 ssh2","2025-05-02T18:27:15.000+0300",15,2,27,may,15,friday,2025,local,,"metasploitable3-ub1404",main,1,3795,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:15 metasploitable3-ub1404 sshd[3799]: Failed password for vagrant from 10.0.2.5 port 60562 ssh2","2025-05-02T18:27:15.000+0300",15,2,27,may,15,friday,2025,local,,"metasploitable3-ub1404",main,1,3799,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:14 metasploitable3-ub1404 sshd[3782]: Failed password for invalid user administrator from 10.0.2.5 port 60476 ssh2","2025-05-02T18:27:14.000+0300",15,2,27,may,14,friday,2025,local,,"metasploitable3-ub1404",main,1,3782,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:14 metasploitable3-ub1404 sshd[3764]: Failed password for invalid user administrator from 10.0.2.5 port 60386 ssh2","2025-05-02T18:27:14.000+0300",15,2,27,may,14,friday,2025,local,,"metasploitable3-ub1404",main,1,3764,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:14 metasploitable3-ub1404 sshd[3765]: Failed password for invalid user administrator from 10.0.2.5 port 60390 ssh2","2025-05-02T18:27:14.000+0300",15,2,27,may,14,friday,2025,local,,"metasploitable3-ub1404",main,1,3765,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:14 metasploitable3-ub1404 sshd[3778]: Failed password for invalid user administrator from 10.0.2.5 port 60464 ssh2","2025-05-02T18:27:14.000+0300",15,2,27,may,14,friday,2025,local,,"metasploitable3-ub1404",main,1,3778,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:14 metasploitable3-ub1404 sshd[3766]: Failed password for invalid user administrator from 10.0.2.5 port 60396 ssh2","2025-05-02T18:27:14.000+0300",15,2,27,may,14,friday,2025,local,,"metasploitable3-ub1404",main,1,3766,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:12 metasploitable3-ub1404 sshd[3763]: Failed password for invalid user administrator from 10.0.2.5 port 60384 ssh2","2025-05-02T18:27:12.000+0300",15,2,27,may,12,friday,2025,local,,"metasploitable3-ub1404",main,1,3763,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:12 metasploitable3-ub1404 sshd[3773]: Failed password for invalid user administrator from 10.0.2.5 port 60452 ssh2","2025-05-02T18:27:12.000+0300",15,2,27,may,12,friday,2025,local,,"metasploitable3-ub1404",main,1,3773,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:12 metasploitable3-ub1404 sshd[3772]: Failed password for invalid user administrator from 10.0.2.5 port 60446 ssh2","2025-05-02T18:27:12.000+0300",15,2,27,may,12,friday,2025,local,,"metasploitable3-ub1404",main,1,3772,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:12 metasploitable3-ub1404 sshd[3779]: Failed password for invalid user administrator from 10.0.2.5 port 60466 ssh2","2025-05-02T18:27:12.000+0300",15,2,27,may,12,friday,2025,local,,"metasploitable3-ub1404",main,1,3779,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:12 metasploitable3-ub1404 sshd[3780]: Failed password for invalid user administrator from 10.0.2.5 port 60468 ssh2","2025-05-02T18:27:12.000+0300",15,2,27,may,12,friday,2025,local,,"metasploitable3-ub1404",main,1,3780,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:12 metasploitable3-ub1404 sshd[3768]: Failed password for invalid user administrator from 10.0.2.5 port 60402 ssh2","2025-05-02T18:27:12.000+0300",15,2,27,may,12,friday,2025,local,,"metasploitable3-ub1404",main,1,3768,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:12 metasploitable3-ub1404 sshd[3784]: Failed password for invalid user administrator from 10.0.2.5 port 60490 ssh2","2025-05-02T18:27:12.000+0300",15,2,27,may,12,friday,2025,local,,"metasploitable3-ub1404",main,1,3784,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:12 metasploitable3-ub1404 sshd[3767]: Failed password for invalid user administrator from 10.0.2.5 port 60400 ssh2","2025-05-02T18:27:12.000+0300",15,2,27,may,12,friday,2025,local,,"metasploitable3-ub1404",main,1,3767,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:12 metasploitable3-ub1404 sshd[3770]: Failed password for invalid user administrator from 10.0.2.5 port 60426 ssh2","2025-05-02T18:27:12.000+0300",15,2,27,may,12,friday,2025,local,,"metasploitable3-ub1404",main,1,3770,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:12 metasploitable3-ub1404 sshd[3771]: Failed password for invalid user administrator from 10.0.2.5 port 60434 ssh2","2025-05-02T18:27:12.000+0300",15,2,27,may,12,friday,2025,local,,"metasploitable3-ub1404",main,1,3771,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:12 metasploitable3-ub1404 sshd[3769]: Failed password for invalid user administrator from 10.0.2.5 port 60414 ssh2","2025-05-02T18:27:12.000+0300",15,2,27,may,12,friday,2025,local,,"metasploitable3-ub1404",main,1,3769,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:12 metasploitable3-ub1404 sshd[3782]: Failed password for invalid user administrator from 10.0.2.5 port 60476 ssh2","2025-05-02T18:27:12.000+0300",15,2,27,may,12,friday,2025,local,,"metasploitable3-ub1404",main,1,3782,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:12 metasploitable3-ub1404 sshd[3764]: Failed password for invalid user administrator from 10.0.2.5 port 60386 ssh2","2025-05-02T18:27:12.000+0300",15,2,27,may,12,friday,2025,local,,"metasploitable3-ub1404",main,1,3764,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:12 metasploitable3-ub1404 sshd[3765]: Failed password for invalid user administrator from 10.0.2.5 port 60390 ssh2","2025-05-02T18:27:12.000+0300",15,2,27,may,12,friday,2025,local,,"metasploitable3-ub1404",main,1,3765,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:12 metasploitable3-ub1404 sshd[3778]: Failed password for invalid user administrator from 10.0.2.5 port 60464 ssh2","2025-05-02T18:27:12.000+0300",15,2,27,may,12,friday,2025,local,,"metasploitable3-ub1404",main,1,3778,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:12 metasploitable3-ub1404 sshd[3766]: Failed password for invalid user administrator from 10.0.2.5 port 60396 ssh2","2025-05-02T18:27:12.000+0300",15,2,27,may,12,friday,2025,local,,"metasploitable3-ub1404",main,1,3766,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:51 metasploitable3-ub1404 sshd[3494]: Failed password for invalid user administrator from 10.0.2.5 port 56800 ssh2","2025-05-02T17:59:51.000+0300",14,2,59,may,51,friday,2025,local,,"metasploitable3-ub1404",main,1,3494,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:50 metasploitable3-ub1404 sshd[3480]: Failed password for vagrant from 10.0.2.5 port 56732 ssh2","2025-05-02T17:59:50.000+0300",14,2,59,may,50,friday,2025,local,,"metasploitable3-ub1404",main,1,3480,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:50 metasploitable3-ub1404 sshd[3492]: Failed password for vagrant from 10.0.2.5 port 56786 ssh2","2025-05-02T17:59:50.000+0300",14,2,59,may,50,friday,2025,local,,"metasploitable3-ub1404",main,1,3492,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:50 metasploitable3-ub1404 sshd[3477]: Failed password for vagrant from 10.0.2.5 port 45078 ssh2","2025-05-02T17:59:50.000+0300",14,2,59,may,50,friday,2025,local,,"metasploitable3-ub1404",main,1,3477,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:50 metasploitable3-ub1404 sshd[3476]: Failed password for vagrant from 10.0.2.5 port 45062 ssh2","2025-05-02T17:59:50.000+0300",14,2,59,may,50,friday,2025,local,,"metasploitable3-ub1404",main,1,3476,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:50 metasploitable3-ub1404 sshd[3472]: Failed password for vagrant from 10.0.2.5 port 45058 ssh2","2025-05-02T17:59:50.000+0300",14,2,59,may,50,friday,2025,local,,"metasploitable3-ub1404",main,1,3472,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:50 metasploitable3-ub1404 sshd[3468]: Failed password for vagrant from 10.0.2.5 port 45028 ssh2","2025-05-02T17:59:50.000+0300",14,2,59,may,50,friday,2025,local,,"metasploitable3-ub1404",main,1,3468,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:50 metasploitable3-ub1404 sshd[3470]: Failed password for vagrant from 10.0.2.5 port 45054 ssh2","2025-05-02T17:59:50.000+0300",14,2,59,may,50,friday,2025,local,,"metasploitable3-ub1404",main,1,3470,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:50 metasploitable3-ub1404 sshd[3469]: Failed password for vagrant from 10.0.2.5 port 45038 ssh2","2025-05-02T17:59:50.000+0300",14,2,59,may,50,friday,2025,local,,"metasploitable3-ub1404",main,1,3469,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:50 metasploitable3-ub1404 sshd[3485]: Failed password for vagrant from 10.0.2.5 port 56754 ssh2","2025-05-02T17:59:50.000+0300",14,2,59,may,50,friday,2025,local,,"metasploitable3-ub1404",main,1,3485,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:50 metasploitable3-ub1404 sshd[3486]: Failed password for vagrant from 10.0.2.5 port 56762 ssh2","2025-05-02T17:59:50.000+0300",14,2,59,may,50,friday,2025,local,,"metasploitable3-ub1404",main,1,3486,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:50 metasploitable3-ub1404 sshd[3484]: Failed password for vagrant from 10.0.2.5 port 56750 ssh2","2025-05-02T17:59:50.000+0300",14,2,59,may,50,friday,2025,local,,"metasploitable3-ub1404",main,1,3484,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:50 metasploitable3-ub1404 sshd[3488]: Failed password for vagrant from 10.0.2.5 port 56780 ssh2","2025-05-02T17:59:50.000+0300",14,2,59,may,50,friday,2025,local,,"metasploitable3-ub1404",main,1,3488,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:50 metasploitable3-ub1404 sshd[3482]: Failed password for vagrant from 10.0.2.5 port 56746 ssh2","2025-05-02T17:59:50.000+0300",14,2,59,may,50,friday,2025,local,,"metasploitable3-ub1404",main,1,3482,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:48 metasploitable3-ub1404 sshd[3480]: Failed password for vagrant from 10.0.2.5 port 56732 ssh2","2025-05-02T17:59:48.000+0300",14,2,59,may,48,friday,2025,local,,"metasploitable3-ub1404",main,1,3480,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:48 metasploitable3-ub1404 sshd[3477]: Failed password for vagrant from 10.0.2.5 port 45078 ssh2","2025-05-02T17:59:48.000+0300",14,2,59,may,48,friday,2025,local,,"metasploitable3-ub1404",main,1,3477,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:48 metasploitable3-ub1404 sshd[3476]: Failed password for vagrant from 10.0.2.5 port 45062 ssh2","2025-05-02T17:59:48.000+0300",14,2,59,may,48,friday,2025,local,,"metasploitable3-ub1404",main,1,3476,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:48 metasploitable3-ub1404 sshd[3472]: Failed password for vagrant from 10.0.2.5 port 45058 ssh2","2025-05-02T17:59:48.000+0300",14,2,59,may,48,friday,2025,local,,"metasploitable3-ub1404",main,1,3472,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:48 metasploitable3-ub1404 sshd[3468]: Failed password for vagrant from 10.0.2.5 port 45028 ssh2","2025-05-02T17:59:48.000+0300",14,2,59,may,48,friday,2025,local,,"metasploitable3-ub1404",main,1,3468,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:48 metasploitable3-ub1404 sshd[3470]: Failed password for vagrant from 10.0.2.5 port 45054 ssh2","2025-05-02T17:59:48.000+0300",14,2,59,may,48,friday,2025,local,,"metasploitable3-ub1404",main,1,3470,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:48 metasploitable3-ub1404 sshd[3469]: Failed password for vagrant from 10.0.2.5 port 45038 ssh2","2025-05-02T17:59:48.000+0300",14,2,59,may,48,friday,2025,local,,"metasploitable3-ub1404",main,1,3469,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:48 metasploitable3-ub1404 sshd[3451]: Failed password for invalid user administrator from 10.0.2.5 port 44948 ssh2","2025-05-02T17:59:48.000+0300",14,2,59,may,48,friday,2025,local,,"metasploitable3-ub1404",main,1,3451,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:48 metasploitable3-ub1404 sshd[3452]: Failed password for invalid user administrator from 10.0.2.5 port 44962 ssh2","2025-05-02T17:59:48.000+0300",14,2,59,may,48,friday,2025,local,,"metasploitable3-ub1404",main,1,3452,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:48 metasploitable3-ub1404 sshd[3442]: Failed password for invalid user administrator from 10.0.2.5 port 44864 ssh2","2025-05-02T17:59:48.000+0300",14,2,59,may,48,friday,2025,local,,"metasploitable3-ub1404",main,1,3442,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:48 metasploitable3-ub1404 sshd[3444]: Failed password for invalid user administrator from 10.0.2.5 port 44868 ssh2","2025-05-02T17:59:48.000+0300",14,2,59,may,48,friday,2025,local,,"metasploitable3-ub1404",main,1,3444,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:48 metasploitable3-ub1404 sshd[3449]: Failed password for invalid user administrator from 10.0.2.5 port 44912 ssh2","2025-05-02T17:59:48.000+0300",14,2,59,may,48,friday,2025,local,,"metasploitable3-ub1404",main,1,3449,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:48 metasploitable3-ub1404 sshd[3446]: Failed password for invalid user administrator from 10.0.2.5 port 44894 ssh2","2025-05-02T17:59:48.000+0300",14,2,59,may,48,friday,2025,local,,"metasploitable3-ub1404",main,1,3446,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:46 metasploitable3-ub1404 sshd[3464]: Failed password for invalid user administrator from 10.0.2.5 port 44978 ssh2","2025-05-02T17:59:46.000+0300",14,2,59,may,46,friday,2025,local,,"metasploitable3-ub1404",main,1,3464,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:46 metasploitable3-ub1404 sshd[3447]: Failed password for invalid user administrator from 10.0.2.5 port 44906 ssh2","2025-05-02T17:59:46.000+0300",14,2,59,may,46,friday,2025,local,,"metasploitable3-ub1404",main,1,3447,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:46 metasploitable3-ub1404 sshd[3443]: Failed password for invalid user administrator from 10.0.2.5 port 44870 ssh2","2025-05-02T17:59:46.000+0300",14,2,59,may,46,friday,2025,local,,"metasploitable3-ub1404",main,1,3443,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:46 metasploitable3-ub1404 sshd[3445]: Failed password for invalid user administrator from 10.0.2.5 port 44884 ssh2","2025-05-02T17:59:46.000+0300",14,2,59,may,46,friday,2025,local,,"metasploitable3-ub1404",main,1,3445,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:46 metasploitable3-ub1404 sshd[3453]: Failed password for invalid user administrator from 10.0.2.5 port 44966 ssh2","2025-05-02T17:59:46.000+0300",14,2,59,may,46,friday,2025,local,,"metasploitable3-ub1404",main,1,3453,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:46 metasploitable3-ub1404 sshd[3450]: Failed password for invalid user administrator from 10.0.2.5 port 44934 ssh2","2025-05-02T17:59:46.000+0300",14,2,59,may,46,friday,2025,local,,"metasploitable3-ub1404",main,1,3450,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:46 metasploitable3-ub1404 sshd[3454]: Failed password for invalid user administrator from 10.0.2.5 port 44924 ssh2","2025-05-02T17:59:46.000+0300",14,2,59,may,46,friday,2025,local,,"metasploitable3-ub1404",main,1,3454,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:46 metasploitable3-ub1404 sshd[3451]: Failed password for invalid user administrator from 10.0.2.5 port 44948 ssh2","2025-05-02T17:59:46.000+0300",14,2,59,may,46,friday,2025,local,,"metasploitable3-ub1404",main,1,3451,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:46 metasploitable3-ub1404 sshd[3442]: Failed password for invalid user administrator from 10.0.2.5 port 44864 ssh2","2025-05-02T17:59:46.000+0300",14,2,59,may,46,friday,2025,local,,"metasploitable3-ub1404",main,1,3442,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:46 metasploitable3-ub1404 sshd[3452]: Failed password for invalid user administrator from 10.0.2.5 port 44962 ssh2","2025-05-02T17:59:46.000+0300",14,2,59,may,46,friday,2025,local,,"metasploitable3-ub1404",main,1,3452,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:46 metasploitable3-ub1404 sshd[3444]: Failed password for invalid user administrator from 10.0.2.5 port 44868 ssh2","2025-05-02T17:59:46.000+0300",14,2,59,may,46,friday,2025,local,,"metasploitable3-ub1404",main,1,3444,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:46 metasploitable3-ub1404 sshd[3449]: Failed password for invalid user administrator from 10.0.2.5 port 44912 ssh2","2025-05-02T17:59:46.000+0300",14,2,59,may,46,friday,2025,local,,"metasploitable3-ub1404",main,1,3449,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:59:46 metasploitable3-ub1404 sshd[3446]: Failed password for invalid user administrator from 10.0.2.5 port 44894 ssh2","2025-05-02T17:59:46.000+0300",14,2,59,may,46,friday,2025,local,,"metasploitable3-ub1404",main,1,3446,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 14:26:03 metasploitable3-ub1404 sshd[2710]: Failed password for invalid user basim from 10.0.2.5 port 50296 ssh2","2025-05-02T17:26:03.000+0300",14,2,26,may,3,friday,2025,local,,"metasploitable3-ub1404",main,1,2710,sshd,"___::_-_[]:________...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 13:54:14 metasploitable3-ub1404 sshd[2424]: Failed password for vagrant from 10.0.2.5 port 51116 ssh2","2025-05-02T16:54:14.000+0300",13,2,54,may,14,friday,2025,local,,"metasploitable3-ub1404",main,1,2424,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 13:54:12 metasploitable3-ub1404 sshd[2422]: Failed password for vagrant from 10.0.2.5 port 51110 ssh2","2025-05-02T16:54:12.000+0300",13,2,54,may,12,friday,2025,local,,"metasploitable3-ub1404",main,1,2422,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 13:54:10 metasploitable3-ub1404 sshd[2420]: Failed password for vagrant from 10.0.2.5 port 51104 ssh2","2025-05-02T16:54:10.000+0300",13,2,54,may,10,friday,2025,local,,"metasploitable3-ub1404",main,1,2420,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 13:54:09 metasploitable3-ub1404 sshd[2418]: Failed password for vagrant from 10.0.2.5 port 51102 ssh2","2025-05-02T16:54:09.000+0300",13,2,54,may,9,friday,2025,local,,"metasploitable3-ub1404",main,1,2418,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
